scene,role,method,seed,seed_provenance,model_path,psnr,ssim,lpips,points,accuracy_mean_m,accuracy_p90_m,completeness_mean_m,completeness_p90_m,chamfer_l1_m,fscore_1cm,fscore_2cm,fscore_5cm,pruned_fraction
P01,development,official_3dgs,0,official_compat_default_seed0,/home/featurize/work/gaussian-splatting-p01-compat/output/P01_official_3dgs_15k_s0,18.193288803100586,0.7934347987174988,0.37831759452819824,635584,0.0923008918762207,0.17629193514585495,0.040323756635189056,0.06774584203958511,0.06631232798099518,0.038484016050511514,0.14338763130374593,0.43504158805856485,0.0
P01,development,official_3dgs,1,frozen_run_manifest,/home/featurize/work/gaussian-splatting-p01-compat/output/P01_official_3dgs_15k_s1,19.42304039001465,0.7957163453102112,0.373789519071579,720487,0.09246140718460083,0.1771233201026917,0.03945868834853172,0.06551385372877121,0.06596004962921143,0.038101813307131076,0.14246925131264512,0.4389598682165247,0.0
P01,development,official_3dgs,2,frozen_run_manifest,/home/featurize/work/gaussian-splatting-p01-compat/output/P01_official_3dgs_15k_s2,19.05048179626465,0.7947661876678467,0.3765888512134552,673047,0.09213860332965851,0.17641856968402864,0.03916749358177185,0.06543716192245483,0.06565304845571518,0.03879908984048959,0.14693434518427087,0.4457353201579261,0.0
P01,development,brgs_v34,0,experiment_manifest,/home/featurize/work/3DGS_mac_new/output/P01_brgs_v34_15k_s0,19.630287170410156,0.7960965633392334,0.36814427375793457,514245,0.09530412405729294,0.18241189122200013,0.03789859265089035,0.06283892169594765,0.06660135835409164,0.03988315099045293,0.14714952031975082,0.4372922190961185,0.03410392898599179
P01,development,brgs_v34,1,frozen_run_manifest,/home/featurize/work/3DGS_mac_new/output/P01_brgs_v34_15k_s1,18.887826919555664,0.7942603230476379,0.377901166677475,464991,0.09462590515613556,0.18500157743692405,0.037966836243867874,0.06264615431427956,0.06629636883735657,0.039857686122573566,0.1457949465540135,0.43438129733879877,0.0429467929864137
P01,development,brgs_v34,2,frozen_run_manifest,/home/featurize/work/3DGS_mac_new/output/P01_brgs_v34_15k_s2,18.865598678588867,0.7961090207099915,0.37115752696990967,476966,0.09469678997993469,0.18424846827983857,0.03773840516805649,0.06231878660619259,0.06621760129928589,0.038388982300078325,0.14428093750468268,0.43424726141189884,0.038781967312226676
P02,development,official_3dgs,0,frozen_run_manifest,/home/featurize/work/gaussian-splatting-p01-compat/output/P02_official_3dgs_15k_s0,17.849517822265625,0.7073841094970703,0.39981114864349365,1347837,0.09272043406963348,0.17376087009906765,0.03637019917368889,0.06114329397678375,0.06454531848430634,0.047428979981909564,0.1626612269237663,0.45292340566857486,0.0
P02,development,official_3dgs,1,frozen_run_manifest,/home/featurize/work/gaussian-splatting-p01-compat/output/P02_official_3dgs_15k_s1,17.766902923583984,0.7082047462463379,0.3979376554489136,1043371,0.09612143784761429,0.1787787571549416,0.036290232092142105,0.06117037683725358,0.06620583683252335,0.0483446641156264,0.16403439596975725,0.4487634885003469,0.0
P02,development,official_3dgs,2,frozen_run_manifest,/home/featurize/work/gaussian-splatting-p01-compat/output/P02_official_3dgs_15k_s2,18.07530403137207,0.7076680064201355,0.39832520484924316,1134156,0.09533537179231644,0.17702264487743383,0.03667961806058884,0.06268333047628402,0.06600749492645264,0.049161023989670566,0.16616514697643772,0.45120853051439513,0.0
P02,development,brgs_v34,0,experiment_manifest,/home/featurize/work/3DGS_mac_new/output/P02_brgs_v34_15k_s0,17.985836029052734,0.7070105075836182,0.39542070031166077,875997,0.09574475884437561,0.18104093074798583,0.03472931310534477,0.05842036418616772,0.06523703783750534,0.0478711073917123,0.16313065124638998,0.44857990479865834,0.028168779704189538
P02,development,brgs_v34,1,frozen_run_manifest,/home/featurize/work/3DGS_mac_new/output/P02_brgs_v34_15k_s1,18.2242488861084,0.708827793598175,0.39274880290031433,882958,0.09203929454088211,0.17673961520195017,0.035212013870477676,0.05888444483280182,0.06362565606832504,0.04918879382385326,0.1674462480932241,0.4571523502446343,0.02856463873097882
P02,development,brgs_v34,2,frozen_run_manifest,/home/featurize/work/3DGS_mac_new/output/P02_brgs_v34_15k_s2,18.041854858398438,0.7063977122306824,0.3957497775554657,685043,0.09270358830690384,0.179966551065445,0.03446434438228607,0.057884871959686286,0.06358397006988525,0.05046337229904282,0.16841348027070296,0.45464539494645206,0.03381028610114031
