role,scene,seed,delta_psnr_db,delta_ssim,delta_lpips,point_reduction_pct,delta_accuracy_mean_m,delta_completeness_mean_m,delta_chamfer_l1_m,delta_fscore_5cm
development,P01,0,1.4369983673095703,0.002661764621734619,-0.010173320770263672,19.09094627932736,0.003003232181072235,-0.002425163984298706,0.00028903037309646606,0.00225063103755363
development,P01,1,-0.5352134704589844,-0.0014560222625732422,0.004111647605895996,35.46156974379829,0.002164497971534729,-0.0014918521046638489,0.0003363192081451416,-0.0045785708777259515
development,P01,2,-0.18488311767578125,0.0013428330421447754,-0.005431324243545532,29.133329470304453,0.002558186650276184,-0.0014290884137153625,0.0005645528435707092,-0.011488058746027263
development,P02,0,0.13631820678710938,-0.00037360191345214844,-0.004390448331832886,35.00720042557075,0.0030243247747421265,-0.0016408860683441162,0.0006917193531990051,-0.004343500869916528
development,P02,1,0.45734596252441406,0.0006230473518371582,-0.005188852548599243,15.374492869746236,-0.004082143306732178,-0.0010782182216644287,-0.0025801807641983032,0.00838886174428738
development,P02,2,-0.03344917297363281,-0.001270294189453125,-0.002575427293777466,39.59887352357171,-0.0026317834854125977,-0.002215273678302765,-0.002423524856567383,0.0034368644320569297
held_out,P03,0,-0.29656219482421875,0.00026786327362060547,-0.0006604194641113281,3.3703681570999757,0.0038416460156440735,-0.0016223527491092682,0.0011096484959125519,-0.00380252371180434
held_out,P03,1,0.34548187255859375,0.0024466514587402344,-0.004982069134712219,0.9252801809381755,0.0047640614211559296,-0.001559961587190628,0.0016020536422729492,-0.00926271949468227
held_out,P03,2,-0.009063720703125,0.0013561248779296875,-0.00041960179805755615,10.283313548999045,0.005364816635847092,-0.001210540533065796,0.002077139914035797,-0.011945669683441129
held_out,P04,0,1.0224132537841797,0.0009979009628295898,0.001980125904083252,2.4149363759284297,-0.018912862986326218,-0.0011362656950950623,-0.01002456247806549,0.000827640846974731
held_out,P04,1,-1.418710708618164,-0.019917011260986328,0.023021191358566284,4.939585432696383,-0.007002618163824081,-0.00031005963683128357,-0.0036563389003276825,-0.01565704090669362
held_out,P04,2,-0.06337738037109375,-0.004016757011413574,-0.0015616267919540405,8.066737822907502,0.004951171576976776,-0.0007892623543739319,0.002080954611301422,-0.022941454302808473
